X,Y,Latitude,Longitude
101.47230140045663,278.04546474202147,21.498567986104092,39.24895792695088
101.47230140045663,511.8498125681084,21.497827995343222,39.24895792695088
121.47230140045663,525.7109879815988,21.497784124723037,39.248877693617544
121.47230140045663,263.3715516985432,21.498614429038874,39.248877693617544
141.47230140045662,248.69763865506494,21.49866087197366,39.248797460284216
141.47230140045662,522.6721187236483,21.49779374274424,39.248797460284216
161.47230140045662,519.6332494656979,21.49780336076544,39.24871722695088
161.47230140045662,234.02372561158668,21.49870731490844,39.24871722695088
181.47230140045662,219.34981256810843,21.49875375784322,39.248636993617545
181.47230140045662,516.5943802077473,21.49781297878664,39.248636993617545
201.47230140045662,513.5555109497968,21.497822596807843,39.24855676028422
201.47230140045662,204.67589952463015,21.498800200778003,39.24855676028422
